FILE;LOSS;TIPO;IMAGES;FONTS;SIZE;CREATOR;PRODUCER;TAGGED;FORM;PAGES;ENCRYPTED;OPTIMIZED;PAGESIZE;VERSION;ROTATION;PAGELINESFIRST;PAGELINESSECOND;PAGELINESLAST;FWORDS1;TWORDS1
F001;.22;txt;3;5;118266;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;no;none;4;no;no;595 x 842 pts (A4);1.4;0;34;16;34;11;211
F002;*  1;txt;3;5;118548;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;no;none;4;no;no;595 x 842 pts (A4);1.4;0;38;16;34;16;240
F003;.13;ocr;1;0;274558;none;none;no;none;1;no;yes;841.89 x 595.276 pts (A4);1.4;270;1;0;0;0;0
F004;.17;txt;3;10;86078;Microsoft® Word 2010 ;PDFsharp 1.32.2608-g (www.pdfsharp.net) (Original: þÿ ;no;none;3;no;yes;595 x 842 pts (A4);1.5;0;24;36;70;1;60
F005;.04;ocr;3;4;355091;PFU ScanSnap Manager 6.2.20 #iX500 ;PDFsharp 1.32.2608-g (www.pdfsharp.net) (Original: Adobe PDF Scan Library 3.2) ;no;none;2;no;yes;595 x 842 pts (A4);1.4;0;43;11;11;1;168
F006;.05;txt;6;11;269773;none;none;no;none;0;no;no;none;none;0;0;0;0;0;0
F007;.19;ocr;18;0;29915;KMBT_C364 ;KONICA MINOLTA bizhub C364 ;no;none;1;no;yes;595.08 x 841.68 pts;1.4;0;1;0;0;0;0
F008;.02;ocr;6;0;278590;PDFCreator Version 1.5.0 ;GPL Ghostscript 9.05 ;no;none;2;no;no;595 x 842 pts (A4);1.4;90;1;1;1;0;0
F009;.08;ocr;5;0;477850;250;250;no;none;5;no;yes;841.68 x 595.08 pts;1.4;0;1;1;1;0;0
F010;.20;txt;1;2;67751;Microsoft Office Word ;Aspose.Words for .NET 10.3.0.0 ;no;none;1;no;yes;595.3 x 841.9 pts (A4);1.5;0;36;0;0;16;170
F011;.06;txt;4;9;309361;Microsoft® Word 2010 ;PDFsharp 1.32.2608-g (www.pdfsharp.net) (Original: þÿ M i c r o s o f t ®   W o r d   2 0 1 0) ;no;none;3;no;no;595 x 842 pts (A4);1.5;0;29;81;68;4;106
F012;.09;txt;2;4;984898;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;no;none;4;no;yes;595 x 842 pts (A4);1.4;0;56;54;1;9;253
F013;.08;ocr;3;3;102362;none;iText 5.0.4 (c) 1T3XT BVBA;no;none;0;no;no;none;none;0;0;0;0;0;0
F014;.12;ocr;3;3;108858;none;iText 5.0.4 (c) 1T3XT BVBA;no;none;0;no;no;none;none;0;0;0;0;0;0
F015;.12;txt;28;2;180765;Microsoft® Office Word 2007 ;Microsoft® Office Word 2007 ;no;none;4;no;yes;595.32 x 841.92 pts (A4);1.5;0;41;1;1;13;222
F016;.06;txt;142;2;408300;Microsoft® Office Word 2007 ;Microsoft® Office Word 2007 ;no;none;11;no;yes;595.32 x 841.92 pts (A4);1.5;0;52;1;1;15;246
F017;.06;txt;110;2;328880;Microsoft® Office Word 2007 ;Microsoft® Office Word 2007 ;no;AcroForm;9;no;yes;595.32 x 841.92 pts (A4);1.5;0;53;1;1;13;203
F018;.15;txt;0;6;660745;PDFCreator 2.2.2.0 Producer:       PDFCreator 2.2.2.0;none;no;none;0;no;no;none;none;0;0;0;0;0;0
F019;.15;txt;142;2;345042;Microsoft® Office Word 2007 ;Microsoft® Office Word 2007 ;no;none;10;no;yes;595.32 x 841.92 pts (A4);1.5;0;55;1;1;19;289
F020;.07;txt;2;6;129836;none;iText 5.0.4 (c) 1T3XT BVBA;no;none;0;no;no;none;none;0;0;0;0;0;0
